url,about,tags,category,score,date
https://www.citizenwatch-global.com/lightistime/,An installation of light and time that started from Baselworld 2013 with architect Takeshi Tane.,"['scroll', 'WebGL']",web design/dev,7.71,Website Of The Day 2020 Jul 6
https://www.cultish.studio/,"CultishÂ® is a creative studio connecting brands to humans through culture, design, and technology.","['animated', 'minimal', 'WebGL']",agency,8.42,Website Of The Day 2020 Jul 2
https://www.reed.be/,"A digital agency to improve your digital strategy, your website, your mobile applications and your content strategy","['animated', 'responsive', 'WebGL']",agency,8.71,Website Of The Day 2020 Jun 30
https://14islands.com,Creative design & development studio. We craft digital experiences that spark joy and bring value to both people and businesses.,"['animated', 'WebGL']",agency,8.66,Website Of The Day 2020 Jun 29
https://asap.digital/,An image website for digital marketing agency.,"['fullscreen', 'WebGL']",agency,7.44,Special Kudos 2020 Jun 15
https://luiskr.com,"Portfolio of Luis KrÃ¶tz. Front-end developer based in Porto Alegre, Brazil.
SPA built with THREE.js, VUE, CSS.","['animated', 'one page', 'WebGL']",web design/dev,6.97,Special Kudos 2020 Jun 14
https://digital.fashion/,Explore your self-expression beyond what is physically possible with Leela - the world's first digital-only fashion platform. ,"['animated', 'parallax', 'WebGL']",fashion,7.81,Website Of The Day 2020 Jun 28
https://tou.tokyo/en/,"This is a special site for TOU, a wall that reacts to the wind from the atmosphere outside and transforms them into natural waves.","['one page', 'scroll', 'WebGL']",products,7.54,Special Kudos 2020 Jun 9
https://www.skepta-thermoglobe.com/,An interactive visualizer and listening experience for Skepta's newest album. Fans heat up the globe as they listen from different cities.,"['video/sound', 'WebGL']",entertainment,7.60,Special Kudos 2020 Jun 9
https://www.hiflow.ch/en/,"Hiflow is an office space, vector of a new vision of the working environment based on synergies issues.","['fullscreen', 'photographic', 'WebGL']",services,6.61,Special Kudos 2020 Jun 8
https://fusionentertainment.com/marine/signature-series,A creative landing page showcasing the features of the Fusion Signature Series 3 using WebGL,"['animated', 'one page', 'WebGL']",products,6.93,Special Kudos 2020 Jun 8
https://www.guruenergy.com/,Guru Energy: Organic energy drinks crafted with plant-based ingredients.,"['animated', 'eCommerce', 'WebGL']",food/drink,7.86,Website Of The Day 2020 Jun 15
https://www.mcube.fr,"Website of Mcube web agency, a creative digital studio based in Lyon, France.","['animated', 'typographic', 'WebGL']",agency,8.53,Website Of The Day 2020 Jun 10
https://smartpixel.com/,Bring your projects or products to life with SmartPixel's real-time interactive 3D content solutions.,"['scroll', 'typographic', 'WebGL']",services,7.11,Special Kudos 2020 May 30
https://sretks.com,My Portfolio site. The theme of this site is 'Continue changing point of views through the project'.,"['colorful', 'scroll', 'WebGL']",web design/dev,6.87,Special Kudos 2020 May 29
https://plus-ex.com/,Plus X is a creative design agency in South Korea. We created our website to introduce our company and projects.,"['animated', 'scroll', 'WebGL']",agency,7.46,Special Kudos 2020 May 26
https://studiomaertens.com,Studio MÃ¦rtensÂ® is a Berlin based interdisciplinary industrial design studio.,"['animated', 'typographic', 'WebGL']",web design/dev,8.57,Website Of The Day 2020 Jun 7
https://www.ivantoma.com/,Ivan Toma is a designer of exquisite furniture pieces full of Italian charm and luxury.,"['parallax', 'photographic', 'WebGL']",products,8.76,Website Of The Day 2020 Jun 4
https://atelier.net/virtual-economy/,The Virtual Economy could level the playing field of wealth distribution in this bold vision for the future of virtual assets. ,"['illustrated', 'VR', 'WebGL']",education,8.36,Website Of The Day 2020 Jun 2
https://www.utadahikaru.jp/time/,"This special lyric site was created to celebrate the release of Utada Hikaru's new single, 'Time'.
","['minimal', 'typographic', 'WebGL']",entertainment,8.11,Website Of The Day 2020 May 29
